topOfHouse,segment,viceChair,globalBusiness,Policy,desk,portfolio,BU,CLINE,Inventory
TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,584,C052 - DERIV - SWAP,IRD_TOR_LONGTERM
TD,TDS,VC,DFID,CIRT,Options_MM,NY_SWAP_WASH,584,C050 - DERIV - SWAPS,NY_SWAP_WASH
TD,TDS,VC,DFID,CIRT,Options_MM,IRD_TOR_TOROPT,584,C755 - Toronto,IRD_TOR_TOROPT
TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_NYGAMMA,584,C756 - New York,IRD_NYK_NYGAMMA
TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_NYSTRAT,8212,C756 - New York,IRD_NYK_NYSTRAT
TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_TORNYOPT,584,C756 - New York,IRD_NYK_TORNYOPT
TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm2,584,C052 - DERIV - SWAP,IRD_TOR_LONGTERM2
TD,TDS,VC,DFID,CIRT,Options_MM,IRD_TOR_TORHDG,584,C755 - Toronto,IRD_TOR_TORHDG
TD,TDS,VC,DFID,CIRT,Options_MM,FUNDING_TOR_OPTIONS,584,C755 - Toronto,FUNDING_TOR_OPTIONS
TD,TDS,VC,DFID,CIRT,Options_MM,IRD_TOR_BONDFWD,584,C682 - Toronto Options,FUNDING_TOR_BONDFWD
TD,TDS,VC,DFID,CIRT,Bonds_MM,IRD_TOR_BOPTUS,584,C758 - BOPTUS Calypso,IRD_TOR_BOPTUS
TD,TDS,VC,DFID,CIRT,Bonds_MM,IRD_TOR_BOPTUS,584,C758 - BOPTUS Calypso,FUNDING_TOR_BOPTUS
TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm2,584,C052 - DERIV - SWAP,FUNDING_TOR_LONGTERM
TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_NYBP,8212,C756 - New York,IRD_NYK_NYBP
TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_NYRV,8212,C756 - New York,IRD_NYK_NYRV
TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_BONDFWD,584,C757 - NYK BONDFWD CALYPSO,FUNDING_NYK_BONDFWD
TD,TDS,VC,DFID,CIRT,Options_MM,FUNDING_NYK_OPTIONS,8212,C756 - New York,FUNDING_NYK_OPTIONS
TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_NYGAMMA,584,C756 - New York,FUNDING_NYK_NYGAMMA
TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,324,C050 - DERIV - SWAPS,IRD_TNY_SWAPS
TD,TDS,VC,DFID,CIRT,Swaps_MM,longterm,324,C050 - DERIV - SWAPS,IRD_TNY_TDTEXASSWP
TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_TDBNA,584,C756 - New York,IRD_NYK_TDBNA
TD,TDS,VC,DFID,CIRT,Options_MM,IRD_TOR_BONDFWD,584,C682 - Toronto Options,IRD_TOR_BONDFWD
TD,TDS,VC,DFID,CIRT,Options_MM,IRD_NYK_BONDFWD,584,C757 - NYK BONDFWD CALYPSO,IRD_NYK_BONDFWD
