Inventory,Book,System,LegalEntity,TradeId,Version,TradeStatus,ProductType,Resetting Leg,ProductSubType,TDSProductType,SecCodeSubType,SwapType,Description,TradeDate,StartDate,MaturityDate
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,6998156,2,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 30Jan14 15Dec17 1.69015/3M,20140129,20140130,20171215
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,2604552,2,TERMINATED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 24May12 15Mar22 3M/2.30,20120516,20120524,20220315
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,11683176,1,VERIFIED,SWAP,,Standard,SWAP_IR,,Fixed/USD.LIBOR.3M,USD 04Mar16 04Mar23 1.457/3M,20160302,20160304,20230304
NY_SWAP_WASH,NY_SWAP_WASH,CALYPSO,TDBK,10172657,5,TERMINATED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 27Feb15 27Feb20 3M/1.146,20150227,20150227,20200227
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,8825467,1,VERIFIED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 15Dec14 19Dec16 1.572/3M,20140916,20141215,20161219
NY_SWAP_WASH,NY_SWAP_WASH,CALYPSO,TDBK,5144168,4,TERMINATED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 10Jul13 10Jul18 3M/2.229,20130710,20130710,20180710
NY_SWAP_WASH,NY_SWAP_WASH,CALYPSO,TDBK,5752755,5,VERIFIED,SWAP,,Standard,SWAP_IR,,Fixed/USD.LIBOR.3M,USD 10Sep13 10Sep18 1.50/3M,20130906,20130910,20180910
NY_SWAP_WASH,NY_SWAP_WASH,CALYPSO,TDBK,9120908,4,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 24Oct14 24Oct19 1.84/3M,20141024,20141024,20191024
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,5323662,2,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 16Sep13 18Sep23 3.097/3M,20130731,20130916,20230918
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,11100287,2,VERIFIED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 18Dec15 18Dec17 3M/1.00,20151027,20151218,20171218
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,8394430,4,TERMINATED,SWAP,,Standard,SWAP_IR,,3M/Fixed,CAD 15Sep14 19Sep16 3M/1.438,20140722,20140915,20160919
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,10906628,24,VERIFIED,XCCY_SWAP,,Standard,SWAP_XCCY,,Fixed,CAD-USD CCS 26Aug15 26Aug20 1.363/1.75,20150819,20150826,20200826
IRD_TOR_TOROPT,IRD_TOR_TOROPT,CALYPSO,TDBK,11254359,3,VERIFIED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 02Dec15 02Dec20 1.195/3M,20151014,20151202,20201202
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,5574554,2,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 19Aug13 20Aug18 2.4141/3M,20130819,20130819,20180820
IRD_NYK_NYGAMMA,IRD_NYK_NYGAMMA,CALYPSO,TDBK,11597827,1,VERIFIED,SWAP,,Standard,SWAP_IR,,USD.LIBOR.3M/Fixed,USD 04Aug16 04Aug18 3M/0.974,20160202,20160804,20180804
IRD_TOR_LONGTERM,IRD_TOR_LONGTERM,CALYPSO,TDBK,1979382,2,TERMINATED,SWAP,,Standard,SWAP_IR,,Fixed/3M,CAD 17Oct11 01Dec20 2.551/3M,20111012,20111017,20201201
